ordernumber,quantityordered,priceeach,orderlinenumber,orderdate,sales,status,productline,msrp,productcode,customername,phone,address,city,state,postalcode,country,territory,contactname,dealsize
10263,40,100,5,28-Jun-04,4472,Shipped,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,NA,Julie King,Medium
10275,22,100,4,23-Jul-04,2904.44,Shipped,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,Not Applicable,44000,France,EMEA,Janine Labrune,Small
10285,47,100,9,27-Aug-04,6484.59,Shipped,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,NA,Marta Hernandez,Medium
10298,39,96.34,1,27-Sep-04,3757.26,Shipped,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",Nantes,Not Applicable,44000,France,EMEA,Carine Schmitt,Medium
10308,34,100,2,15-Oct-04,4043.96,Shipped,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,White Plains,NY,24067,USA,NA,Steve Frick,Medium
10318,45,100,4,2-Nov-04,5566.5,Shipped,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,NA,Kyung Yu,Medium
10329,20,100,2,15-Nov-04,3176,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,NA,Kwai Yu,Medium
10339,40,68.92,4,23-Nov-04,2756.8,Shipped,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Japan,Akiko Shimamura,Small
10361,26,51.15,8,17-Dec-04,1329.9,Shipped,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC,Adrian Huxley,Small
10374,39,100,5,2-Feb-05,5288.01,Shipped,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,APAC,Tony Calaghan,Medium
10388,50,44.51,5,3-Mar-05,2225.5,Shipped,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,NA,Violeta Benitez,Small
10402,45,100,1,7-Apr-05,5833.8,Shipped,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,Not Applicable,75016,France,EMEA,Dominique Perrier,Medium
10417,45,100,5,13-May-05,5887.35,Disputed,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Not Applicable,28034,Spain,EMEA,Diego Freyre,Medium
10107,27,100,4,24-Feb-03,6065.55,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,NA,Kwai Yu,Medium
10120,46,100,2,29-Apr-03,9264.86,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Peter Ferguson,Large
10134,31,100,4,1-Jul-03,7023.98,Shipped,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,Not Applicable,75508,France,EMEA,Daniel Da Cunha,Large
10145,33,100,8,25-Aug-03,5176.38,Shipped,Motorcycles,193,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,NA,Julie Young,Medium
10159,22,100,16,10-Oct-03,4132.7,Shipped,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,N/A,USA,NA,Julie Brown,Medium
10168,20,100,3,28-Oct-03,4183,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,NA,Juri Hirano,Medium
10180,41,100,11,11-Nov-03,8892.9,Shipped,Motorcycles,193,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,Not Applicable,59000,France,EMEA,Martine Rance,Large
10188,45,100,3,18-Nov-03,8714.7,Shipped,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,Not Applicable,N 5804,Norway,EMEA,Veysel Oeztan,Large
10201,49,100,4,1-Dec-03,8065.89,Shipped,Motorcycles,193,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,N/A,USA,NA,Julie Murphy,Large
10210,34,100,1,12-Jan-04,6123.4,Shipped,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Japan,Mory Kentary,Medium
10223,49,100,3,20-Feb-04,9774.03,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Peter Ferguson,Large
10237,39,100,9,5-Apr-04,7023.9,Shipped,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA,NA,Michael Frick,Large
10251,43,100,4,18-May-04,7078.23,Shipped,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,NA,William Brown,Large
10263,41,100,4,28-Jun-04,8336.94,Shipped,Motorcycles,193,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,NA,Julie King,Large
10275,36,100,3,23-Jul-04,6901.92,Shipped,Motorcycles,193,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,Not Applicable,44000,France,EMEA,Janine Labrune,Medium
10285,27,100,8,27-Aug-04,5438.07,Shipped,Motorcycles,193,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,NA,Marta Hernandez,Medium
10299,29,100,11,30-Sep-04,6683.34,Shipped,Motorcycles,193,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,Not Applicable,21240,Finland,EMEA,Matti Karttunen,Medium
10308,20,100,1,15-Oct-04,4570.4,Shipped,Motorcycles,193,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,White Plains,NY,24067,USA,NA,Steve Frick,Medium
10318,37,100,3,2-Nov-04,7667.14,Shipped,Motorcycles,193,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,NA,Kyung Yu,Large
10329,26,100,3,15-Nov-04,5868.2,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,NA,Kwai Yu,Medium
10339,39,76.67,3,23-Nov-04,2990.13,Shipped,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Japan,Akiko Shimamura,Small
10362,22,100,4,5-Jan-05,3664.1,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,NA,Juri Hirano,Medium
10374,22,100,1,2-Feb-05,3834.38,Shipped,Motorcycles,193,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,APAC,Tony Calaghan,Medium
10388,21,86.77,7,3-Mar-05,1822.17,Shipped,Motorcycles,193,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,NA,Violeta Benitez,Small
10403,66,100,9,8-Apr-05,11886.6,Shipped,Motorcycles,193,S10_4698,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,Not Applicable,WX1 6LT,UK,EMEA,Elizabeth Devon,Large
10417,56,100,4,13-May-05,9218.16,Disputed,Motorcycles,193,S10_4698,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Not Applicable,28034,Spain,EMEA,Diego Freyre,Large
10105,50,100,2,11-Feb-03,7208,Shipped,Classic Cars,136,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,Not Applicable,1734,Denmark,EMEA,Jytte Petersen,Large
10119,46,100,11,28-Apr-03,5004.8,Shipped,Classic Cars,136,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,Not Applicable,5020,Austria,EMEA,Georg Pipps,Medium
10129,33,100,2,12-Jun-03,4398.24,Shipped,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,Not Applicable,WX3 6FW,UK,EMEA,Ann Brown,Medium
10143,49,100,15,10-Aug-03,5597.76,Shipped,Classic Cars,136,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,NA,Wing C Tam,Medium
10155,32,100,13,6-Oct-03,4526.08,Shipped,Classic Cars,136,S10_4757,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,Not Applicable,21240,Finland,EMEA,Matti Karttunen,Medium
10167,44,100,9,23-Oct-03,5924.16,Cancelled,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,Not Applicable,S-844 67,Sweden,EMEA,Maria Larsson,Medium
10178,24,100,12,8-Nov-03,3492.48,Shipped,Classic Cars,136,S10_4757,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,Not Applicable,31000,France,EMEA,Annette Roulet,Medium
10186,26,100,9,14-Nov-03,3854.24,Shipped,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,Not Applicable,WA1 1DP,UK,EMEA,Thomas Hardy,Medium
10197,45,100,6,26-Nov-03,5324.4,Shipped,Classic Cars,136,S10_4757,Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,Not Applicable,8022,Spain,EMEA,Eduardo Saavedra,Medium
10209,39,100,8,9-Jan-04,5197.92,Shipped,Classic Cars,136,S10_4757,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,Los Angeles,CA,N/A,USA,NA,Michael Chandler,Medium
10222,49,100,12,19-Feb-04,5997.6,Shipped,Classic Cars,136,S10_4757,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,CA,91217,USA,NA,Valarie Thompson,Medium
10248,20,100,3,7-May-04,2910.4,Cancelled,Classic Cars,136,S10_4757,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,NA,Kwai Yu,Small
10261,27,100,1,17-Jun-04,3378.24,Shipped,Classic Cars,136,S10_4757,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,NA,Jean Fresnisre,Medium
10273,30,100,4,21-Jul-04,3508.8,Shipped,Classic Cars,136,S10_4757,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,Not Applicable,B-1180,Belgium,EMEA,Catherine Dewey,Medium
10283,25,100,6,20-Aug-04,2992,Shipped,Classic Cars,136,S10_4757,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,NA,Elizabeth Lincoln,Small
10295,24,100,1,10-Sep-04,3427.2,Shipped,Classic Cars,136,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,MA,51003,USA,NA,Juri Yoshido,Medium
10307,22,100,9,14-Oct-04,2692.8,Shipped,Classic Cars,136,S10_4757,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,PA,71270,USA,NA,Francisca Cervantes,Small
10316,33,100,17,1-Nov-04,4128.96,Shipped,Classic Cars,136,S10_4757,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Helen Bennett,Medium
10325,47,64.93,6,5-Nov-04,3051.71,Shipped,Classic Cars,136,S10_4757,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,Not Applicable,4110,Norway,EMEA,Jonas Bergulfsen,Medium
10337,25,48.05,8,21-Nov-04,1201.25,Shipped,Classic Cars,136,S10_4757,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,NY,10022,USA,NA,Maria Hernandez,Small
10350,26,75.47,5,2-Dec-04,1962.22,Shipped,Classic Cars,136,S10_4757,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Not Applicable,28034,Spain,EMEA,Diego Freyre,Small
10359,48,54.68,6,15-Dec-04,2624.64,Shipped,Classic Cars,136,S10_4757,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,Not Applicable,51100,France,EMEA,Paul Henriot,Small
10373,39,100,3,31-Jan-05,4046.25,Shipped,Classic Cars,136,S10_4757,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,Not Applicable,90110,Finland,EMEA,Pirkko Koskitalo,Medium
